id,item_id,dept_id,cat_id,store_id,state_id,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI,sell_price,lag_1,lag_7,lag_14,lag_28,roll_7,roll_28,weekday_num,price,price_change,event_flag,forecast_units,lower_80,upper_80,actual_units
FOODS_1_218_CA_2_validation,FOODS_1_218,FOODS_1,FOODS,CA_2,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,0.98,1.0,13.0,19.0,19.0,5.428571428571429,10.5,0,0.98,0.0,0,9.84588873440915,6.195243967550005,13.496533501268296,1
FOODS_2_360_WI_2_validation,FOODS_2_360,FOODS_2,FOODS,WI_2,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,0.94,30.0,42.0,122.0,32.0,44.857142857142854,66.5,0,0.94,0.0,0,22.9563853480162,14.444649099783405,31.468121596249,38
FOODS_3_007_WI_2_validation,FOODS_3_007,FOODS_3,FOODS,WI_2,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,0.25,42.0,42.0,12.0,0.0,32.42857142857143,31.428571428571427,0,0.25,0.0,0,31.742549507057994,19.973091678458776,43.51200733565721,41
FOODS_3_030_TX_3_validation,FOODS_3_030,FOODS_3,FOODS,TX_3,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.25,17.0,16.0,16.0,16.0,19.571428571428573,19.178571428571427,0,1.25,0.0,0,15.929534958564926,10.023204407443314,21.83586550968654,16
FOODS_3_080_CA_2_validation,FOODS_3_080,FOODS_3,FOODS,CA_2,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.68,20.0,13.0,12.0,13.0,14.142857142857142,14.25,0,1.68,0.0,0,13.865399399887016,8.724406125941895,19.006392673832135,11
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.6,42.0,30.0,48.0,25.0,54.42857142857143,50.82142857142857,0,1.6,0.0,0,31.952749491438713,20.105354008487218,43.80014497439021,48
FOODS_3_090_CA_2_validation,FOODS_3_090,FOODS_3,FOODS,CA_2,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.6,60.0,65.0,27.0,50.0,54.57142857142857,48.535714285714285,0,1.6,0.0,0,49.19081135628468,30.95191155765187,67.42971115491748,36
FOODS_3_090_CA_3_validation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.6,130.0,86.0,107.0,61.0,108.71428571428571,110.35714285714286,0,1.6,0.0,0,91.54546145842949,57.60236410907919,125.48855880777978,133
FOODS_3_090_CA_4_validation,FOODS_3_090,FOODS_3,FOODS,CA_4,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.6,18.0,30.0,23.0,19.0,24.571428571428573,26.642857142857142,0,1.6,0.0,0,22.49079519622489,14.151689809155293,30.82990058329449,11
FOODS_3_090_TX_1_validation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.5,58.0,48.0,55.0,36.0,47.42857142857143,51.642857142857146,0,1.5,0.0,0,42.42687198063126,26.695896103460832,58.15784785780169,43
FOODS_3_090_TX_2_validation,FOODS_3_090,FOODS_3,FOODS,TX_2,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.5,73.0,43.0,53.0,48.0,56.42857142857143,61.714285714285715,0,1.5,0.0,0,49.88513029322748,31.38879189640869,68.38146869004628,58
FOODS_3_090_TX_3_validation,FOODS_3_090,FOODS_3,FOODS,TX_3,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.5,66.0,81.0,74.0,42.0,65.85714285714286,61.535714285714285,0,1.5,0.0,0,60.057268868412564,37.78931924796827,82.32521848885686,93
FOODS_3_090_WI_1_validation,FOODS_3_090,FOODS_3,FOODS,WI_1,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.38,27.0,9.0,10.0,15.0,19.714285714285715,21.392857142857142,0,1.38,0.0,0,14.91052509367269,9.38202158599978,20.4390286013456,23
FOODS_3_090_WI_3_validation,FOODS_3_090,FOODS_3,FOODS,WI_3,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.38,91.0,70.0,50.0,7.0,84.71428571428571,80.64285714285714,0,1.38,0.0,0,52.09073647959066,32.77660652538209,71.40486643379923,56
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,FOODS,CA_1,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,4.98,59.0,6.0,2.0,34.0,43.0,38.25,0,4.98,0.0,0,40.332258191054535,25.377920266615163,55.28659611549391,34
FOODS_3_120_CA_3_validation,FOODS_3_120,FOODS_3,FOODS,CA_3,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,4.98,98.0,77.0,57.0,46.0,72.14285714285714,67.03571428571429,0,4.98,0.0,0,67.75725005682376,42.634312249061296,92.88018786458623,71
FOODS_3_226_WI_1_validation,FOODS_3_226,FOODS_3,FOODS,WI_1,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.68,38.0,42.0,33.0,22.0,35.285714285714285,36.5,0,1.68,0.0,0,32.89769036029934,20.69993103199566,45.095449688603026,18
FOODS_3_226_WI_2_validation,FOODS_3_226,FOODS_3,FOODS,WI_2,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.68,38.0,40.0,46.0,28.0,41.42857142857143,44.857142857142854,0,1.68,0.0,0,34.84186010949206,21.92324425800097,47.76047596098315,49
FOODS_3_226_WI_3_validation,FOODS_3_226,FOODS_3,FOODS,WI_3,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.68,38.0,49.0,45.0,46.0,42.857142857142854,45.892857142857146,0,1.68,0.0,0,42.16177168738041,26.529089323812958,57.794454050947856,39
FOODS_3_234_WI_2_validation,FOODS_3_234,FOODS_3,FOODS,WI_2,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,0.25,12.0,0.0,0.0,0.0,35.857142857142854,9.178571428571429,0,0.25,0.0,0,17.832948320972324,11.220872842390964,24.445023799553685,20
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,FOODS,CA_1,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.58,52.0,21.0,32.0,24.0,37.142857142857146,37.535714285714285,0,1.58,0.0,0,30.763499453474868,19.357052425730583,42.16994648121916,30
FOODS_3_252_CA_2_validation,FOODS_3_252,FOODS_3,FOODS,CA_2,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.58,38.0,43.0,23.0,11.0,33.42857142857143,34.392857142857146,0,1.58,0.0,0,32.37822082367697,20.373069679008932,44.383371968345,22
FOODS_3_252_CA_3_validation,FOODS_3_252,FOODS_3,FOODS,CA_3,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.58,39.0,59.0,58.0,36.0,46.42857142857143,45.857142857142854,0,1.58,0.0,0,41.57774664099588,26.16160826211183,56.99388501987993,46
FOODS_3_252_CA_4_validation,FOODS_3_252,FOODS_3,FOODS,CA_4,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.58,9.0,24.0,12.0,15.0,15.571428571428571,16.821428571428573,0,1.58,0.0,0,13.892120129762471,8.741219381203548,19.043020878321393,17
FOODS_3_252_TX_1_validation,FOODS_3_252,FOODS_3,FOODS,TX_1,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.58,35.0,17.0,23.0,26.0,31.857142857142858,30.178571428571427,0,1.58,0.0,0,24.37472679313074,15.337099900193481,33.412353686068,28
FOODS_3_252_TX_2_validation,FOODS_3_252,FOODS_3,FOODS,TX_2,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.58,46.0,22.0,45.0,45.0,46.285714285714285,49.0,0,1.58,0.0,0,36.309705066067224,22.846843727568476,49.77256640456597,53
FOODS_3_252_TX_3_validation,FOODS_3_252,FOODS_3,FOODS,TX_3,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.58,20.0,20.0,38.0,24.0,32.714285714285715,32.67857142857143,0,1.58,0.0,0,22.921062966613103,14.422423501240706,31.4197024319855,32
FOODS_3_318_WI_3_validation,FOODS_3_318,FOODS_3,FOODS,WI_3,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.48,14.0,18.0,35.0,25.0,22.142857142857142,23.107142857142858,0,1.48,0.0,0,19.41751861038277,12.217918390175955,26.617118830589586,13
FOODS_3_377_TX_2_validation,FOODS_3_377,FOODS_3,FOODS,TX_2,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.68,28.0,18.0,22.0,24.0,26.857142857142858,26.785714285714285,0,1.68,0.0,0,22.029898646160067,13.861683833211766,30.198113459108367,24
FOODS_3_377_TX_3_validation,FOODS_3_377,FOODS_3,FOODS,TX_3,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.68,50.0,23.0,38.0,41.0,42.42857142857143,41.964285714285715,0,1.68,0.0,0,35.23133947718986,22.16831301393586,48.29436594044387,46
FOODS_3_491_WI_1_validation,FOODS_3_491,FOODS_3,FOODS,WI_1,WI,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.38,36.0,13.0,17.0,2.0,17.571428571428573,18.214285714285715,0,1.38,0.0,0,20.34764546938658,12.803174121551573,27.892116817221588,11
FOODS_3_541_CA_3_validation,FOODS_3_541,FOODS_3,FOODS,CA_3,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.0,0.0,0.0,0.0,23.0,0.0,2.1785714285714284,0,1.0,0.0,0,1.3245393063996143,0.8334284866613931,1.8156501261378353,0
FOODS_3_555_CA_2_validation,FOODS_3_555,FOODS_3,FOODS,CA_2,CA,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.68,36.0,24.0,14.0,22.0,22.285714285714285,20.214285714285715,0,1.68,0.0,0,24.146987362752494,15.193801375267709,33.10017335023728,18
FOODS_3_555_TX_1_validation,FOODS_3_555,FOODS_3,FOODS,TX_1,TX,2016-04-25,11613,Monday,3,4,2016,,,0,0,0,1.68,28.0,32.0,19.0,23.0,30.714285714285715,28.714285714285715,0,1.68,0.0,0,23.73186223898636,14.93259576060311,32.53112871736961,21
