store_id,item_id,wm_yr_wk,sell_price
CA_1,HOBBIES_1_348,11513,0.48
CA_1,HOBBIES_1_348,11514,0.48
CA_1,HOBBIES_1_348,11515,0.48
CA_1,HOBBIES_1_348,11516,0.48
CA_1,HOBBIES_1_348,11517,0.48
CA_1,HOBBIES_1_348,11518,0.48
CA_1,HOBBIES_1_348,11519,0.48
CA_1,HOBBIES_1_348,11520,0.48
CA_1,HOBBIES_1_348,11521,0.48
CA_1,HOBBIES_1_348,11522,0.48
CA_1,HOBBIES_1_348,11523,0.48
CA_1,HOBBIES_1_348,11524,0.48
CA_1,HOBBIES_1_348,11525,0.48
CA_1,HOBBIES_1_348,11526,0.48
CA_1,HOBBIES_1_348,11527,0.48
CA_1,HOBBIES_1_348,11528,0.48
CA_1,HOBBIES_1_348,11529,0.48
CA_1,HOBBIES_1_348,11530,0.48
CA_1,HOBBIES_1_348,11531,0.48
CA_1,HOBBIES_1_348,11532,0.48
CA_1,HOBBIES_1_348,11533,0.48
CA_1,HOBBIES_1_348,11534,0.48
CA_1,HOBBIES_1_348,11535,0.48
CA_1,HOBBIES_1_348,11536,0.48
CA_1,HOBBIES_1_348,11537,0.48
CA_1,HOBBIES_1_348,11538,0.48
CA_1,HOBBIES_1_348,11539,0.48
CA_1,HOBBIES_1_348,11540,0.48
CA_1,HOBBIES_1_348,11541,0.48
CA_1,HOBBIES_1_348,11542,0.48
CA_1,HOBBIES_1_348,11543,0.48
CA_1,HOBBIES_1_348,11544,0.48
CA_1,HOBBIES_1_348,11545,0.48
CA_1,HOBBIES_1_348,11546,0.48
CA_1,HOBBIES_1_348,11547,0.48
CA_1,HOBBIES_1_348,11548,0.48
CA_1,HOBBIES_1_348,11549,0.48
CA_1,HOBBIES_1_348,11550,0.48
CA_1,HOBBIES_1_348,11551,0.48
CA_1,HOBBIES_1_348,11552,0.48
CA_1,HOBBIES_1_348,11601,0.48
CA_1,HOBBIES_1_348,11602,0.48
CA_1,HOBBIES_1_348,11603,0.48
CA_1,HOBBIES_1_348,11604,0.48
CA_1,HOBBIES_1_348,11605,0.48
CA_1,HOBBIES_1_348,11606,0.48
CA_1,HOBBIES_1_348,11607,0.48
CA_1,HOBBIES_1_348,11608,0.48
CA_1,HOBBIES_1_348,11609,0.48
CA_1,HOBBIES_1_348,11610,0.48
CA_1,HOBBIES_1_348,11611,0.48
CA_1,HOBBIES_1_348,11612,0.48
CA_1,HOBBIES_1_348,11613,0.48
CA_1,HOBBIES_1_348,11614,0.48
CA_1,HOBBIES_1_348,11615,0.48
CA_1,HOBBIES_1_348,11616,0.48
CA_1,HOBBIES_1_348,11617,0.48
CA_1,HOBBIES_1_371,11513,0.48
CA_1,HOBBIES_1_371,11514,0.48
CA_1,HOBBIES_1_371,11515,0.48
CA_1,HOBBIES_1_371,11516,0.48
CA_1,HOBBIES_1_371,11517,0.48
CA_1,HOBBIES_1_371,11518,0.48
CA_1,HOBBIES_1_371,11519,0.48
CA_1,HOBBIES_1_371,11520,0.48
CA_1,HOBBIES_1_371,11521,0.48
